@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
278,'2021/11/10 17:52:29:970',5,260,22,257,251,249,247,0.366745,0.007814,0.72693
279,'2021/11/10 17:52:29:972',5,260,22,257,251,251,247,0.366745,0.007814,0.72693
280,'2021/11/10 17:52:29:972',5,260,22,257,249,251,247,0.366745,0.007814,0.72693
281,'2021/11/10 17:52:29:972',5,260,22,258,249,251,247,0.366745,0.007814,0.72693
282,'2021/11/10 17:52:29:972',5,260,18,258,249,251,247,0.366745,0.007814,0.72693
283,'2021/11/10 17:52:29:972',5,263,18,258,249,251,247,0.366745,0.007814,0.72693
284,'2021/11/10 17:52:30:014',5,263,18,258,249,251,244,0.366745,0.007814,0.72693
285,'2021/11/10 17:52:30:015',5,263,18,258,249,248,244,0.366745,0.007814,0.72693
286,'2021/11/10 17:52:30:015',5,263,18,258,251,248,244,0.366745,0.007814,0.72693
287,'2021/11/10 17:52:30:015',5,263,18,259,251,248,244,0.366745,0.007814,0.72693
288,'2021/11/10 17:52:30:015',5,263,22,259,251,248,244,0.366745,0.007814,0.72693
289,'2021/11/10 17:52:30:044',5,263,22,259,251,248,247,0.366745,0.007814,0.72693
290,'2021/11/10 17:52:30:048',5,263,22,259,251,249,247,0.366745,0.007814,0.72693
291,'2021/11/10 17:52:30:050',5,263,22,262,251,249,247,0.366745,0.007814,0.72693
292,'2021/11/10 17:52:30:051',5,263,20,262,251,249,247,0.366745,0.007814,0.72693
293,'2021/11/10 17:52:30:074',5,263,20,262,251,249,251,0.366745,0.007814,0.72693
294,'2021/11/10 17:52:30:075',5,263,20,262,251,251,251,0.366745,0.007814,0.72693
295,'2021/11/10 17:52:30:075',5,263,20,262,246,251,251,0.366745,0.007814,0.72693
296,'2021/11/10 17:52:30:075',5,263,20,259,246,251,251,0.366745,0.007814,0.72693
297,'2021/11/10 17:52:30:076',5,262,20,259,246,251,251,0.366745,0.007814,0.72693
298,'2021/11/10 17:52:30:119',5,262,20,259,246,251,245,0.366745,0.007814,0.72693
299,'2021/11/10 17:52:30:121',5,262,20,259,246,248,245,0.366745,0.007814,0.72693
300,'2021/11/10 17:52:30:122',5,262,20,259,250,248,245,0.366745,0.007814,0.72693
301,'2021/11/10 17:52:30:123',5,262,20,258,250,248,245,0.366745,0.007814,0.72693
302,'2021/11/10 17:52:30:123',5,262,21,258,250,248,245,0.366745,0.007814,0.72693
303,'2021/11/10 17:52:30:149',5,262,21,258,250,248,251,0.366745,0.007814,0.72693
304,'2021/11/10 17:52:30:150',5,262,21,258,250,249,251,0.366745,0.007814,0.72693
305,'2021/11/10 17:52:30:150',5,262,21,262,250,249,251,0.366745,0.007814,0.72693
306,'2021/11/10 17:52:30:150',5,262,23,262,250,249,251,0.366745,0.007814,0.72693
307,'2021/11/10 17:52:30:150',5,266,23,262,250,249,251,0.366745,0.007814,0.72693
