@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
64,'2021/11/10 17:51:30:010',2,254,458,322,249,253,246,0.535972,0.636901,0.191565
65,'2021/11/10 17:51:30:010',2,254,458,318,249,253,246,0.535972,0.636901,0.191565
66,'2021/11/10 17:51:30:010',2,254,460,318,249,253,246,0.535972,0.636901,0.191565
67,'2021/11/10 17:51:30:010',2,255,460,318,249,253,246,0.535972,0.636901,0.191565
68,'2021/11/10 17:51:30:047',2,255,460,318,249,253,247,0.535972,0.636901,0.191565
69,'2021/11/10 17:51:30:047',2,255,460,318,252,253,247,0.535972,0.636901,0.191565
70,'2021/11/10 17:51:30:048',2,255,460,321,252,253,247,0.535972,0.636901,0.191565
71,'2021/11/10 17:51:30:048',2,255,457,321,252,253,247,0.535972,0.636901,0.191565
72,'2021/11/10 17:51:30:077',2,255,457,321,252,253,248,0.535972,0.636901,0.191565
73,'2021/11/10 17:51:30:077',2,255,457,321,252,251,248,0.535972,0.636901,0.191565
74,'2021/11/10 17:51:30:077',2,255,457,321,251,251,248,0.535972,0.636901,0.191565
75,'2021/11/10 17:51:30:078',2,255,457,323,251,251,248,0.535972,0.636901,0.191565
76,'2021/11/10 17:51:30:078',2,255,456,323,251,251,248,0.535972,0.636901,0.191565
77,'2021/11/10 17:51:30:078',2,253,456,323,251,251,248,0.535972,0.636901,0.191565
78,'2021/11/10 17:51:30:107',2,253,456,323,251,254,248,0.535972,0.636901,0.191565
79,'2021/11/10 17:51:30:111',2,253,456,323,255,254,248,0.535972,0.636901,0.191565
80,'2021/11/10 17:51:30:112',2,253,456,320,255,254,248,0.535972,0.636901,0.191565
81,'2021/11/10 17:51:30:112',2,253,457,320,255,254,248,0.535972,0.636901,0.191565
82,'2021/11/10 17:51:30:112',2,250,457,320,255,254,248,0.535972,0.636901,0.191565
83,'2021/11/10 17:51:30:152',2,250,457,320,255,254,244,0.535972,0.636901,0.191565
84,'2021/11/10 17:51:30:155',2,250,457,320,255,253,244,0.535972,0.636901,0.191565
85,'2021/11/10 17:51:30:156',2,250,457,325,255,253,244,0.535972,0.636901,0.191565
86,'2021/11/10 17:51:30:156',2,250,454,325,255,253,244,0.535972,0.636901,0.191565
87,'2021/11/10 17:51:30:158',2,253,454,325,255,253,244,0.535972,0.636901,0.191565
88,'2021/11/10 17:51:30:182',2,253,454,325,255,253,246,0.535972,0.636901,0.191565
89,'2021/11/10 17:51:30:184',2,253,454,325,255,250,246,0.535972,0.636901,0.191565
90,'2021/11/10 17:51:30:184',2,253,454,325,252,250,246,0.535972,0.636901,0.191565
91,'2021/11/10 17:51:30:184',2,253,454,321,252,250,246,0.535972,0.636901,0.191565
92,'2021/11/10 17:51:30:184',2,253,457,321,252,250,246,0.535972,0.636901,0.191565
93,'2021/11/10 17:51:30:184',2,252,457,321,252,250,246,0.535972,0.636901,0.191565
94,'2021/11/10 17:51:30:212',2,252,457,321,252,250,248,0.535972,0.636901,0.191565
95,'2021/11/10 17:51:30:212',2,252,457,321,252,251,248,0.535972,0.636901,0.191565
96,'2021/11/10 17:51:30:213',2,252,457,321,251,251,248,0.535972,0.636901,0.191565
97,'2021/11/10 17:51:30:213',2,252,457,320,251,251,248,0.535972,0.636901,0.191565
98,'2021/11/10 17:51:30:213',2,252,461,320,251,251,248,0.535972,0.636901,0.191565
99,'2021/11/10 17:51:30:257',2,252,461,320,251,251,246,0.535972,0.636901,0.191565
100,'2021/11/10 17:51:30:258',2,252,461,320,251,253,246,0.535972,0.636901,0.191565
101,'2021/11/10 17:51:30:258',2,252,461,320,250,253,246,0.535972,0.636901,0.191565
102,'2021/11/10 17:51:30:259',2,252,461,322,250,253,246,0.535972,0.636901,0.191565
103,'2021/11/10 17:51:30:261',2,252,457,322,250,253,246,0.535972,0.636901,0.191565
104,'2021/11/10 17:51:30:261',2,253,457,322,250,253,246,0.535972,0.636901,0.191565
105,'2021/11/10 17:51:30:287',2,253,457,322,250,253,250,0.535972,0.636901,0.191565
106,'2021/11/10 17:51:30:288',2,253,457,322,250,250,250,0.535972,0.636901,0.191565
107,'2021/11/10 17:51:30:293',2,253,457,322,251,250,250,0.535972,0.636901,0.191565
108,'2021/11/10 17:51:30:294',2,253,455,322,251,250,250,0.535972,0.636901,0.191565
109,'2021/11/10 17:51:30:294',2,254,455,322,251,250,250,0.535972,0.636901,0.191565
110,'2021/11/10 17:51:30:317',2,254,455,322,251,250,249,0.535972,0.636901,0.191565
111,'2021/11/10 17:51:30:318',2,254,455,316,251,250,249,0.535972,0.636901,0.191565
112,'2021/11/10 17:51:30:319',2,254,456,316,251,250,249,0.535972,0.636901,0.191565
113,'2021/11/10 17:51:30:319',2,250,456,316,251,250,249,0.535972,0.636901,0.191565
114,'2021/11/10 17:51:30:362',2,250,456,316,251,250,247,0.535972,0.636901,0.191565
115,'2021/11/10 17:51:30:364',2,250,456,316,251,252,247,0.535972,0.636901,0.191565
116,'2021/11/10 17:51:30:365',2,250,456,316,252,252,247,0.535972,0.636901,0.191565
117,'2021/11/10 17:51:30:365',2,250,456,320,252,252,247,0.535972,0.636901,0.191565
118,'2021/11/10 17:51:30:366',2,255,456,320,252,252,247,0.535972,0.636901,0.191565
119,'2021/11/10 17:51:30:392',2,255,456,320,252,252,244,0.535972,0.636901,0.191565
120,'2021/11/10 17:51:30:395',2,255,456,320,252,249,244,0.535972,0.636901,0.191565
121,'2021/11/10 17:51:30:395',2,255,456,320,253,249,244,0.535972,0.636901,0.191565
122,'2021/11/10 17:51:30:396',2,255,456,321,253,249,244,0.535972,0.636901,0.191565
123,'2021/11/10 17:51:30:396',2,255,463,321,253,249,244,0.535972,0.636901,0.191565
124,'2021/11/10 17:51:30:396',2,251,463,321,253,249,244,0.535972,0.636901,0.191565
125,'2021/11/10 17:51:35:553',3,81,393,251,250,249,250,0.898046,0.076032,0.005698
126,'2021/11/10 17:51:35:562',3,81,393,251,248,249,250,0.898046,0.076032,0.005698
127,'2021/11/10 17:51:35:565',3,81,393,245,248,249,250,0.898046,0.076032,0.005698
128,'2021/11/10 17:51:35:565',3,81,390,245,248,249,250,0.898046,0.076032,0.005698
129,'2021/11/10 17:51:35:565',3,76,390,245,248,249,250,0.898046,0.076032,0.005698
130,'2021/11/10 17:51:35:582',3,76,390,245,248,249,245,0.898046,0.076032,0.005698
131,'2021/11/10 17:51:35:585',3,76,390,245,248,251,245,0.898046,0.076032,0.005698
132,'2021/11/10 17:51:35:585',3,76,390,245,247,251,245,0.898046,0.076032,0.005698
133,'2021/11/10 17:51:35:586',3,76,390,251,247,251,245,0.898046,0.076032,0.005698
134,'2021/11/10 17:51:35:586',3,80,390,251,247,251,245,0.898046,0.076032,0.005698
135,'2021/11/10 17:51:35:612',3,80,390,251,247,251,248,0.898046,0.076032,0.005698
136,'2021/11/10 17:51:35:617',3,80,390,251,247,252,248,0.898046,0.076032,0.005698
137,'2021/11/10 17:51:35:617',3,80,390,251,245,252,248,0.898046,0.076032,0.005698
138,'2021/11/10 17:51:35:617',3,80,390,244,245,252,248,0.898046,0.076032,0.005698
139,'2021/11/10 17:51:35:617',3,80,395,244,245,252,248,0.898046,0.076032,0.005698
140,'2021/11/10 17:51:35:617',3,84,395,244,245,252,248,0.898046,0.076032,0.005698
141,'2021/11/10 17:51:35:657',3,84,395,244,245,252,251,0.898046,0.076032,0.005698
142,'2021/11/10 17:51:35:660',3,84,395,244,245,250,251,0.898046,0.076032,0.005698
143,'2021/11/10 17:51:35:661',3,84,395,244,250,250,251,0.898046,0.076032,0.005698
144,'2021/11/10 17:51:35:661',3,84,395,250,250,250,251,0.898046,0.076032,0.005698
145,'2021/11/10 17:51:35:661',3,85,395,250,250,250,251,0.898046,0.076032,0.005698
146,'2021/11/10 17:51:35:687',3,85,395,250,250,250,248,0.898046,0.076032,0.005698
147,'2021/11/10 17:51:35:687',3,85,395,250,250,245,248,0.898046,0.076032,0.005698
148,'2021/11/10 17:51:35:687',3,85,395,250,248,245,248,0.898046,0.076032,0.005698
149,'2021/11/10 17:51:35:687',3,85,391,250,248,245,248,0.898046,0.076032,0.005698
150,'2021/11/10 17:51:35:687',3,81,391,250,248,245,248,0.898046,0.076032,0.005698
151,'2021/11/10 17:51:35:717',3,81,391,250,248,245,246,0.898046,0.076032,0.005698
152,'2021/11/10 17:51:35:717',3,81,391,250,248,249,246,0.898046,0.076032,0.005698
153,'2021/11/10 17:51:35:717',3,81,391,250,244,249,246,0.898046,0.076032,0.005698
154,'2021/11/10 17:51:35:717',3,81,391,248,244,249,246,0.898046,0.076032,0.005698
155,'2021/11/10 17:51:35:717',3,81,392,248,244,249,246,0.898046,0.076032,0.005698
156,'2021/11/10 17:51:35:762',3,81,392,248,244,249,250,0.898046,0.076032,0.005698
157,'2021/11/10 17:51:35:762',3,81,392,248,248,249,250,0.898046,0.076032,0.005698
158,'2021/11/10 17:51:35:762',3,81,392,246,248,249,250,0.898046,0.076032,0.005698
159,'2021/11/10 17:51:35:762',3,81,393,246,248,249,250,0.898046,0.076032,0.005698
160,'2021/11/10 17:51:35:762',3,83,393,246,248,249,250,0.898046,0.076032,0.005698
161,'2021/11/10 17:51:35:792',3,83,393,246,248,251,250,0.898046,0.076032,0.005698
